quarter,co_name,stock_weight,cat,risk_adj_score,sector,prob,entry_price,entry_date,num_shares,price_data_adequate,tp_price,sl_price,tp_pct,sl_pct,exit_date,exit_price,TP_triggered,SL_triggered,regime_exit,holding_period
202602,B P C L,0.04,largecap,61.07460435545626,Refineries,0.49,376.73333740234375,2026-02-17,106175,True,391.2527449857272,346.89772547795224,0.03854027807440094,0.07919557140898224,2026-03-09,341.3500061035156,False,True,False,20.0
202602,IRB Infra.Devl.,0.04,midcap,50.86328827227124,Infrastructure Developers & Operators,0.47,42.333333333333336,2026-02-17,944881,True,44.01063930357769,38.886674113989756,0.03962140087191389,0.08141714691362788,2026-03-02,38.38999938964844,False,True,False,13.0
202602,FSN E-Commerce,0.04,midcap,50.324306973494046,E-Commerce/App based Aggregator,0.5,272.98000081380206,2026-02-17,146530,True,284.9017215960715,248.48231847462634,0.04367250621557874,0.08974167435762241,2026-03-09,248.48231847462634,False,True,False,20.0
202602,Campus Activewe.,0.04,smallcap,49.032228886219784,Leather,0.47,271.1166687011719,2026-02-17,147537,True,283.10218743963554,246.48788934225564,0.04420797435982903,0.09084199609306345,2026-03-02,240.39999389648438,False,True,False,13.0
202602,Aarti Industries,0.04,smallcap,48.294701298810914,Chemicals,0.47,456.78333536783856,2026-02-17,87568,True,473.98351273197835,421.43906846713674,0.03765500190651401,0.07737643684448293,2026-03-02,416.0,False,True,False,13.0
202602,Ujjivan Small,0.04,smallcap,47.64880116466556,Banks,0.55,62.493333180745445,2026-02-17,640068,True,65.76396174392421,55.772590340554935,0.052335639606857574,0.1075433569970182,2026-03-02,54.97999954223633,False,True,False,13.0
202602,Yes Bank,0.04,midcap,47.01608935516391,Banks,0.49,21.093332926432293,2026-02-17,1896333,True,21.937482414105872,19.358708674322557,0.04001972996006555,0.08223566461306163,2026-03-09,19.358708674322557,False,True,False,20.0
202602,JK Tyre & Indust,0.04,smallcap,46.620887101587655,Tyres,0.45,574.0,2026-02-17,69686,True,600.9005081344437,518.7227363334907,0.04686499674990196,0.09630185307754228,2026-02-27,518.7227363334907,False,True,False,10.0
202602,R R Kabel,0.04,smallcap,46.33428222875229,Cables,0.51,1416.1666666666667,2026-02-17,28245,True,1492.2860921581673,1259.7505301384,0.053750329875132806,0.1104503729751206,2026-02-24,1492.2860921581673,True,False,False,7.0
202602,Alok Industries,0.04,smallcap,46.030536841028095,Textiles,0.51,15.0,2026-02-17,2666666,True,15.738540805774731,13.482388710084852,0.049236053718315395,0.10117408599434323,2026-03-04,13.482388710084852,False,True,False,15.0
