quarter,co_name,stock_weight,cat,risk_adj_score,sector,prob,entry_price,entry_date,num_shares,price_data_adequate,tp_price,sl_price,tp_pct,sl_pct,exit_date,exit_price,TP_triggered,SL_triggered,regime_exit,holding_period
202602,APL Apollo Tubes,0.027777777777777776,midcap,87.05605442615551,Capital Goods-Non Electrical Equipment,0.54,2228.5999348958335,2026-02-17,12464,True,2680.9998372395835,1458.2000325520835,0.2029973595798815,0.3456878420755043,,,False,False,False,
202602,SBI Life Insuran,0.027777777777777776,largecap,82.25100605318055,Insurance,0.5,2047.1667073567708,2026-02-17,13568,True,2204.6001383463545,1852.3999430338542,0.07690308289199183,0.09513966968249131,,,False,False,False,
202602,Federal Bank,0.027777777777777776,midcap,79.84922010345387,Banks,0.52,289.56667073567706,2026-02-17,95928,True,338.34666951497394,208.80666097005206,0.1684586097404295,0.2788995348133299,,,False,False,False,
202602,Marico,0.027777777777777776,midcap,79.75117632985086,FMCG,0.5,781.1333211263021,2026-02-17,35560,True,826.4499918619791,679.9499918619791,0.05801400287256433,0.12953400722738156,,,False,False,False,
202602,Kotak Mah. Bank,0.027777777777777776,largecap,77.95109597681922,Banks,0.5,425.4666748046875,2026-02-17,65287,True,469.00001017252606,378.7999979654948,0.10231902507481401,0.1096835066121577,2026-03-12,377.0,False,True,False,23.0
202602,TVS Motor Co.,0.027777777777777776,largecap,77.29163249374582,Automobile,0.54,3856.7999674479165,2026-02-17,7202,True,4235.13330078125,3155.13330078125,0.09809514014896667,0.18192975331592487,,,False,False,False,
202602,UltraTech Cem.,0.027777777777777776,largecap,73.25052959414754,Cement,0.51,13005.666666666666,2026-02-17,2135,True,14296.333333333334,10608.333333333334,0.09923879334649009,0.18432990747622824,,,False,False,False,
202602,J B Chemicals &,0.027777777777777776,smallcap,72.7214232804256,Pharmaceuticals,0.5,1983.8999837239583,2026-02-17,14001,True,2189.833333333333,1615.0332845052083,0.1038022840359217,0.18593008833356311,,,False,False,False,
202602,ICICI Bank,0.027777777777777776,largecap,72.06859200312489,Banks,0.5,1409.0999755859375,2026-02-17,19713,True,1510.0000406901042,1279.3999430338542,0.07160603708208148,0.09204459215049726,2026-03-09,1272.699951171875,False,True,False,20.0
202602,Linde India,0.027777777777777776,midcap,67.12862798348152,Chemicals,0.5,6795.333333333333,2026-02-17,4087,True,7763.333333333333,5175.333333333333,0.1424507014617875,0.2383989012067105,,,False,False,False,
202602,Axis Bank,0.027777777777777776,largecap,66.07475545351805,Banks,0.52,1364.1666666666667,2026-02-17,20362,True,1537.5667317708333,1119.7666829427083,0.12711061583689665,0.17915698257101415,,,False,False,False,
202602,B P C L,0.027777777777777776,largecap,66.06028312440212,Refineries,0.53,376.73333740234375,2026-02-17,73733,True,416.6499938964844,324.3500061035156,0.10595467013717033,0.13904617961346957,2026-03-09,324.3500061035156,False,True,False,20.0
202602,AU Small Finance,0.027777777777777776,midcap,64.36969197616935,Banks,0.52,1010.5999959309896,2026-02-17,27486,True,1124.066609700521,821.7666829427084,0.11227648350127206,0.18685267538945846,,,False,False,False,
202602,ICICI Lombard,0.027777777777777776,largecap,64.03683700214185,Insurance,0.51,1936.63330078125,2026-02-17,14343,True,2207.333170572917,1637.1334635416667,0.13977858879244973,0.15464974041227275,,,False,False,False,
202602,United Breweries,0.027777777777777776,midcap,61.767285574868126,Alcoholic Beverages,0.5,1608.5,2026-02-17,17269,True,2028.6333414713542,1192.8332926432292,0.2611957360717154,0.2584188419998575,,,False,False,False,
202602,JSW Steel,0.027777777777777776,largecap,61.721537113160274,Steel,0.53,1247.9999593098958,2026-02-17,22257,True,1383.1333821614583,1005.7332356770833,0.1082799897896527,0.19412398359914873,,,False,False,False,
202602,Max Financial,0.027777777777777776,midcap,60.3038676417605,Miscellaneous,0.51,1847.5333658854167,2026-02-17,15035,True,2051.700032552083,1459.7000325520833,0.11050770201858894,0.20991952865082208,,,False,False,False,
202602,Reliance Industr,0.027777777777777776,largecap,59.810250783185325,Refineries,0.5,1433.8000081380208,2026-02-17,19373,True,1738.1000569661458,1184.4999593098958,0.21223325924185127,0.17387365560966495,,,False,False,False,
202602,Dr Reddy's Labs,0.027777777777777776,largecap,59.207365942852825,Pharmaceuticals,0.52,1278.1667073567708,2026-02-17,21732,True,1381.5333251953125,1092.3333740234375,0.08087099847272844,0.1453905286874775,,,False,False,False,
202602,Anand Rathi Wea.,0.027777777777777776,smallcap,58.97621375883311,Finance,0.52,3003.2999674479165,2026-02-17,9249,True,3468.8333333333335,2473.2332356770835,0.15500728229987912,0.17649476826028218,,,False,False,False,
202602,Tata Power Co.,0.027777777777777776,largecap,58.12695648069644,Power Generation & Distribution,0.5,380.03333536783856,2026-02-17,73093,True,432.3000183105469,317.3999938964844,0.1375318375481951,0.1648101249084654,,,False,False,False,
202602,Gujarat Gas,0.027777777777777776,midcap,57.79091455162515,Gas Distribution,0.5,414.7000020345052,2026-02-17,66982,True,478.09999593098956,349.00002034505206,0.15288158568952495,0.15842773418647474,,,False,False,False,
202602,Aarti Industries,0.027777777777777776,smallcap,57.54262572755458,Chemicals,0.56,456.78333536783856,2026-02-17,60811,True,559.3166910807292,286.0166422526042,0.22446824954838293,0.37384615394893805,,,False,False,False,
202602,Guj.St.Petronet,0.027777777777777776,smallcap,57.44619881881604,Gas Distribution,0.51,305.59999593098956,2026-02-17,90895,True,348.9166564941406,257.3166809082031,0.14174300111225396,0.15799514288504687,,,False,False,False,
